depth_bin,n,depth_min,L_min,mint,boltz_msa,boltz_nomsa,gain
Q1 (lowest),295,88.0,162.0,0.005747126415371895,0.5095541477203369,0.012048192322254181,0.28205129131674767
Q2,295,979.0,213.0,0.0,0.6528925895690918,0.0,0.4793388545513153
Q3,294,2611.0,280.0,0.005922343581914902,0.7211111187934875,0.0,0.5653930008411407
Q4,294,6325.0,245.5,0.0,0.7410600185394287,0.0,0.3886347562074661
Q5 (highest),295,11336.0,271.0,0.01666666753590107,0.738095223903656,0.0,0.5829145908355713
